customerid,country,total_amount,avg_check,top_product_1,top_product_2,top_product_3,top_product_4,top_product_5,top_product_6,top_product_7,2010_12,2011_1,2011_10,2011_11,2011_12,2011_2,2011_3,2011_4,2011_5,2011_6,2011_7,2011_8,2011_9
14078,United Kingdom,1049.3700000000001,174.9,20750,85088,23241,-,21915,22423,23238,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
14001,United Kingdom,2043.08,681.03,22411,-,-,21928,-,22113,23056,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12662,Germany,3849.779999999998,349.98,POST,22326,20750,20712,22176,22175,-,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
15525,United Kingdom,825.9200000000002,275.31,22839,22968,22634,22960,23078,22635,23079,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14237,United Kingdom,161.0,161.0,22947,22487,21743,-,22187,-,22222,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17905,United Kingdom,800.2400000000001,200.06,46000S,15044D,21191,21192,84800L,21931,21194,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
15485,United Kingdom,2575.0000000000005,858.33,22086,22910,-,15056BL,-,22192,22726,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12433,Norway,13375.869999999992,1910.84,22693,22197,82600,84050,22666,-,85152,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16955,United Kingdom,518.6700000000001,129.67,22797,20677,22080,22740,21243,-,20675,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15350,United Kingdom,115.65000000000002,115.65,-,22834,-,-,22112,-,-,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15605,United Kingdom,1198.23,239.65,85152,21485,37500,22457,48194,21523,22219,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
18144,United Kingdom,2888.7500000000005,240.73,84879,23245,47566,22946,21260,22722,22844,2.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0
15922,United Kingdom,369.50000000000006,369.5,22277,20867,22183,21688,-,22800,-,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14594,United Kingdom,379.8299999999999,189.91,23284,22752,21523,22173,21690,-,22086,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15165,United Kingdom,487.74999999999994,487.75,72741,22423,22632,-,22173,21625,22554,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14911,EIRE,143825.05999999933,715.55,C2,22423,M,85123A,22910,23173,22086,13.0,6.0,24.0,34.0,9.0,4.0,15.0,8.0,15.0,17.0,16.0,12.0,28.0
16456,United Kingdom,2158.3699999999994,431.67,85099B,21931,85099C,85099F,21930,-,85123A,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
17346,United Kingdom,2676.56,178.44,85099B,84879,23065,23084,21326,23344,23554,2.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0
17643,United Kingdom,101.55,101.55,20749,-,22336,22694,21843,22597,-,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17841,United Kingdom,40991.57000000007,330.58,79321,21686,22467,84078A,22475,23263,22041,6.0,9.0,16.0,16.0,4.0,7.0,9.0,6.0,10.0,9.0,12.0,10.0,10.0
17873,United Kingdom,1859.1600000000008,371.83,82582,85150,21166,82600,21164,M,21908,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
13093,United Kingdom,7832.4699999999975,979.06,79321,85099F,22837,22768,22086,48111,-,3.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12921,United Kingdom,16587.090000000015,448.3,23298,85099B,84879,23203,20725,23202,21928,2.0,1.0,3.0,7.0,0.0,4.0,2.0,0.0,4.0,2.0,6.0,1.0,5.0
13468,United Kingdom,5704.97,154.19,85123A,37449,48185,21155,22470,20828,82486,4.0,2.0,2.0,3.0,2.0,3.0,5.0,4.0,3.0,1.0,3.0,2.0,3.0
17760,United Kingdom,287.59000000000003,143.8,21818,85199S,22976,21452,22139,22800,22669,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16928,United Kingdom,2847.599999999998,167.51,22775,22772,22771,21669,22774,21668,22805,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,4.0,3.0
16048,United Kingdom,256.44000000000005,128.22,-,22632,-,-,22645,-,21231,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16274,United Kingdom,357.9499999999999,357.95,21761,M,22946,22765,21351,21340,22130,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14496,United Kingdom,538.8100000000001,269.41,22113,22835,21781,22423,22457,21471,21257,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14696,United Kingdom,2078.95,296.99,78033,82484,85099C,84360,84609,21794,35598D,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
16539,United Kingdom,1388.81,347.2,21523,21955,48184,21754,23284,48194,21755,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17025,United Kingdom,357.77000000000004,119.26,22178,23021,22791,22460,-,21756,84970L,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13777,United Kingdom,25977.159999999985,787.19,84029E,85123A,21232,21137,85099B,22041,21107,10.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0
17690,United Kingdom,4757.95,317.2,22655,22656,22837,22834,22847,22865,20679,4.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0
12947,United Kingdom,1603.9900000000005,267.33,22929,23298,-,20725,-,15039,22150,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0
17460,United Kingdom,622.43,103.74,85123A,22865,22926,37449,22284,22665,21430,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
18229,United Kingdom,7276.900000000001,363.85,20725,22501,22845,22844,22193,22846,35004C,2.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0
14142,United Kingdom,311.81000000000006,311.81,22867,22466,21108,22449,37448,22743,-,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17069,United Kingdom,2709.7000000000007,301.08,22423,22795,22665,22667,84347,22666,20725,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0
13065,United Kingdom,205.86,205.86,21166,22622,22457,-,22969,22794,22114,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14606,United Kingdom,12156.650000000067,130.72,22178,20749,84352,21340,21445,21463,21539,8.0,7.0,6.0,9.0,2.0,11.0,8.0,8.0,6.0,8.0,7.0,6.0,7.0
16835,United Kingdom,180.85000000000002,90.43,21472,-,20713,-,-,21524,-,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15235,United Kingdom,2247.51,187.29,22303,22804,22960,21216,21733,-,22780,3.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
13576,United Kingdom,6717.340000000001,373.19,21137,22041,82001S,22947,21754,-,20829,1.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0
18011,United Kingdom,102.79000000000002,102.79,72802C,22220,21221,-,20755,-,21709,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13090,United Kingdom,8910.82,636.49,22622,22138,22617,22139,21259,-,21257,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
15694,United Kingdom,6479.399999999998,462.81,21137,22423,20749,35004B,22968,47566,22726,3.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0
14741,United Kingdom,1400.3400000000001,233.39,23298,22457,23313,85015,84832,22961,22429,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
13715,United Kingdom,1079.34,215.87,82483,85123A,21430,22107,-,22469,21181,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17732,United Kingdom,303.9700000000001,303.97,72760B,22507,22386,-,21754,-,21481,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12855,United Kingdom,38.10000000000001,38.1,22863,22962,-,-,-,-,-,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15752,United Kingdom,2637.3800000000024,376.77,22632,21929,20712,85099B,23203,22386,20728,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
17855,United Kingdom,208.96999999999997,208.97,22619,22910,22652,-,-,21791,-,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14047,United Kingdom,1308.6100000000001,261.72,22752,82484,22467,21481,85123A,84792,22837,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
17925,United Kingdom,244.08,244.08,21137,-,-,-,-,-,-,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13941,United Kingdom,5112.96,1022.59,79321,21731,22179,21743,72741,23480,20893,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
17017,United Kingdom,8694.260000000002,434.71,22197,23328,23188,23084,21914,22993,21137,5.0,0.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,0.0,0.0,1.0
14135,United Kingdom,4690.310000000001,312.69,22112,79321,22111,21201,22835,17021,22114,4.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
13108,United Kingdom,350.06,350.06,22752,22492,21791,21790,22549,22491,22536,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15601,United Kingdom,6776.559999999997,484.04,85123A,21754,82494L,21523,22752,22766,22772,2.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
13418,United Kingdom,6127.4299999999985,340.41,23298,22726,22655,22727,22509,22109,22728,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,1.0,2.0
15658,United Kingdom,1024.1,204.82,22423,22699,22697,23173,22698,22120,22627,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
14388,United Kingdom,3212.8400000000024,401.61,21931,-,23201,23203,22423,23344,22411,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
14901,United Kingdom,1421.2900000000004,157.92,23065,22086,22306,23356,22839,22960,23355,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
18041,United Kingdom,4183.389999999995,199.21,21080,21156,22138,22367,51014A,22133,21915,3.0,2.0,0.0,3.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0
15955,United Kingdom,4416.260000000001,315.45,23203,79321,22502,47566,23202,23298,23201,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,2.0
15070,United Kingdom,106.2,106.2,22086,-,-,-,-,-,-,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16244,United Kingdom,1522.7500000000002,761.38,21381,21380,22723,-,21430,-,72741,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15111,United Kingdom,1567.4799999999998,522.49,23355,23301,-,22632,-,-,23284,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14390,United Kingdom,4652.820000000003,516.98,23083,22112,22835,21833,23109,85099B,22596,1.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
16546,United Kingdom,787.1500000000001,393.58,22910,22933,-,22632,-,22129,22220,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15260,United Kingdom,1810.7700000000002,258.68,84978,22469,85123A,20914,23108,23298,21754,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
13305,United Kingdom,2000.8599999999992,200.09,22741,22740,85061W,21523,48187,23284,22865,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
14491,United Kingdom,340.93,170.47,20749,22812,22485,21715,-,21731,21288,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
14060,United Kingdom,6140.419999999998,323.18,84347,22467,23158,22900,22178,22970,22734,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0
15923,United Kingdom,127.08,127.08,84755,85038,16235,22501,48173C,22202,-,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16752,United Kingdom,207.5,207.5,21769,22759,21563,22969,22168,22797,22442,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17287,United Kingdom,1064.1100000000001,152.02,22423,84879,22294,23069,23245,22847,-,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
15363,United Kingdom,326.0,326.0,22493,21743,22943,20798,-,21731,22320,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12915,United Kingdom,363.6499999999999,181.82,22423,85132C,22938,21218,21843,23245,-,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15544,United Kingdom,3546.7099999999955,394.08,84997D,84997A,84997C,84997B,21495,21245,21243,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
15738,United Kingdom,4812.419999999996,300.78,47590B,47590A,22090,47599A,21094,22083,22333,1.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0
17381,United Kingdom,20275.60999999999,699.16,22659,22555,22616,22622,22492,22563,21790,3.0,1.0,3.0,1.0,1.0,4.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0
15827,United Kingdom,1836.0900000000006,131.15,22720,22722,20914,22841,23245,22699,22423,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
14180,United Kingdom,4748.519999999998,189.94,22424,22072,-,21527,82484,21843,22846,4.0,2.0,1.0,2.0,0.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0
13117,United Kingdom,984.9099999999996,123.11,21128,47566,22824,22457,21132,21793,84836,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
16916,United Kingdom,576.2599999999998,288.13,22971,22465,-,22086,84997B,20914,22187,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17964,United Kingdom,471.6999999999999,235.85,22654,23084,21830,21623,-,23007,22800,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14466,United Kingdom,2272.4000000000005,324.63,22423,21843,21156,21625,21042,47591D,22667,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
17235,United Kingdom,550.06,275.03,20749,-,22734,22738,22077,85184C,21430,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16510,United Kingdom,248.1,248.1,21587,84946,22795,22767,-,22969,22169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17802,United Kingdom,1285.0399999999995,428.35,82483,82486,48194,22596,47590B,82494L,23135,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
15107,United Kingdom,319.50000000000006,53.25,84945,22191,22168,22634,-,20914,-,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17976,United Kingdom,353.1899999999999,353.19,90082A,-,90082D,22371,90196A,90199A,21415,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14449,United Kingdom,907.0999999999999,226.77,22297,23082,23469,23094,23461,23083,22383,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16781,United Kingdom,311.25,311.25,48111,84683,22183,-,22296,-,82484,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
